"","File accession","File format","Output type","Experiment accession","Assay","Biosample term id","Biosample term name","Biosample type","Biosample organism","Biosample treatments","Biosample treatments amount","Biosample treatments duration","Experiment target","Library made from","Library depleted in","Library extraction method","Library lysis method","Library crosslinking method","Library strand specific","Experiment date released","Project","RBNS protein concentration","Library fragmentation method","Library size range","Biological replicate(s)","Technical replicate","Read length","Mapped read length","Run type","Paired end","Paired with","Derived from","Size","Lab","md5sum","dbxrefs","File download URL","Assembly","Platform","Controlled by","File Status","Restricted","Audit WARNING","Audit INTERNAL_ACTION","Audit NOT_COMPLIANT","Audit ERROR"
"141","ENCFF554QVV","bigBed narrowPeak","peaks","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF098NMB",1491168,"ENCODE Processing Pipeline","f7277f9adff89ddd247dbed0422ffadf",NA,"https://www.encodeproject.org/files/ENCFF554QVV/@@download/ENCFF554QVV.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"142","ENCFF652SDN","bigBed broadPeak","hotspots","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF098NMB",2490372,"ENCODE Processing Pipeline","63b3373772ce77f23a80b24751427f90",NA,"https://www.encodeproject.org/files/ENCFF652SDN/@@download/ENCFF652SDN.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"143","ENCFF181FUC","bigBed narrowPeak","peaks","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF623DXR",1046206,"ENCODE Processing Pipeline","7f179ba7e20f4e4d63a35c132bbe5654",NA,"https://www.encodeproject.org/files/ENCFF181FUC/@@download/ENCFF181FUC.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"144","ENCFF691WXC","bigBed broadPeak","hotspots","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF623DXR",1884300,"ENCODE Processing Pipeline","86578ec233e7098f62223b461c156378",NA,"https://www.encodeproject.org/files/ENCFF691WXC/@@download/ENCFF691WXC.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"145","ENCFF488RDI","bigBed narrowPeak","peaks","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF711VTL",1077040,"ENCODE Processing Pipeline","6ecc45a781a19fa060baeb5cf2d63794",NA,"https://www.encodeproject.org/files/ENCFF488RDI/@@download/ENCFF488RDI.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"146","ENCFF651GWW","bigBed broadPeak","hotspots","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF711VTL",1928193,"ENCODE Processing Pipeline","037ccf36e9fbd03e51e8cca5baf94286",NA,"https://www.encodeproject.org/files/ENCFF651GWW/@@download/ENCFF651GWW.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"153","ENCFF238ZRM","bigWig","read-depth normalized signal","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF623DXR",516399011,"ENCODE Processing Pipeline","9abbdf968df7f96c7790d5db74a532b2",NA,"https://www.encodeproject.org/files/ENCFF238ZRM/@@download/ENCFF238ZRM.bigWig","mm10",NA,NA,"released",NA,"low read depth","","",NA
"154","ENCFF395AJZ","bigWig","read-depth normalized signal","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF098NMB",550046814,"ENCODE Processing Pipeline","69bec15ad737ee7908e2e84ffc6ddb39",NA,"https://www.encodeproject.org/files/ENCFF395AJZ/@@download/ENCFF395AJZ.bigWig","mm10",NA,NA,"released",NA,"low read depth","","",NA
"155","ENCFF093HBO","bigWig","read-depth normalized signal","ENCSR000CMP","DNase-seq","UBERON:0001893","telencephalon","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF711VTL",519112550,"ENCODE Processing Pipeline","b4a94b5c48a584c4a2ada0b52783513a",NA,"https://www.encodeproject.org/files/ENCFF093HBO/@@download/ENCFF093HBO.bigWig","mm10",NA,NA,"released",NA,"low read depth","","",NA
"162","ENCFF626JKC","bigBed narrowPeak","peaks","ENCSR756SPS","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF609MGC",1897369,"ENCODE Processing Pipeline","fb133843902a0aa17c138c1f6ed06023",NA,"https://www.encodeproject.org/files/ENCFF626JKC/@@download/ENCFF626JKC.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"163","ENCFF619BJW","bigBed broadPeak","hotspots","ENCSR756SPS","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF609MGC",2592868,"ENCODE Processing Pipeline","39104481afea613305dd1b068cc1c562",NA,"https://www.encodeproject.org/files/ENCFF619BJW/@@download/ENCFF619BJW.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"164","ENCFF533TAT","bigBed narrowPeak","peaks","ENCSR756SPS","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF444PVU",1717498,"ENCODE Processing Pipeline","2544f31cc6ce35aef31459833fcaf831",NA,"https://www.encodeproject.org/files/ENCFF533TAT/@@download/ENCFF533TAT.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"165","ENCFF992JTK","bigBed broadPeak","hotspots","ENCSR756SPS","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF444PVU",2445286,"ENCODE Processing Pipeline","7a688cc07948614d3d038a5ef5556838",NA,"https://www.encodeproject.org/files/ENCFF992JTK/@@download/ENCFF992JTK.bigBed","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"166","ENCFF247KMU","bigWig","read-depth normalized signal","ENCSR756SPS","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF609MGC",683126931,"ENCODE Processing Pipeline","28e23ceedb8cecfc33d1a6add80b4b8e",NA,"https://www.encodeproject.org/files/ENCFF247KMU/@@download/ENCFF247KMU.bigWig","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"167","ENCFF815LUM","bigWig","read-depth normalized signal","ENCSR756SPS","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF444PVU",665870454,"ENCODE Processing Pipeline","dcf0a651256251b9005ccd334a98f665",NA,"https://www.encodeproject.org/files/ENCFF815LUM/@@download/ENCFF815LUM.bigWig","mm10",NA,NA,"released",NA,"low spot score","experiment not submitted to GEO","",NA
"173","ENCFF153ZCY","bigBed narrowPeak","peaks","ENCSR767AJS","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF530INW",2993191,"ENCODE Processing Pipeline","cfb6d0e455ab7bc88103dbb829a20859",NA,"https://www.encodeproject.org/files/ENCFF153ZCY/@@download/ENCFF153ZCY.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"174","ENCFF731IWZ","bigBed broadPeak","hotspots","ENCSR767AJS","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF530INW",4916381,"ENCODE Processing Pipeline","ae927a31566e2b16c1a8573f59bc35a8",NA,"https://www.encodeproject.org/files/ENCFF731IWZ/@@download/ENCFF731IWZ.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"175","ENCFF460EHO","bigBed broadPeak","hotspots","ENCSR767AJS","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF018VXW, ENCFF026MOH",3212863,"ENCODE Processing Pipeline","3a8f816d39703435b80f99a4b77c36a4",NA,"https://www.encodeproject.org/files/ENCFF460EHO/@@download/ENCFF460EHO.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"176","ENCFF819CKG","bigBed narrowPeak","peaks","ENCSR767AJS","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF018VXW, ENCFF026MOH",2253881,"ENCODE Processing Pipeline","24a8947267ed484eb4073668bc22c102",NA,"https://www.encodeproject.org/files/ENCFF819CKG/@@download/ENCFF819CKG.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"180","ENCFF610ONZ","bigWig","read-depth normalized signal","ENCSR767AJS","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF530INW",688628653,"ENCODE Processing Pipeline","78b5aafea0c46cabae73c2844a90e98c",NA,"https://www.encodeproject.org/files/ENCFF610ONZ/@@download/ENCFF610ONZ.bigWig","mm10",NA,NA,"released",NA,"low spot score","","",NA
"181","ENCFF561YHL","bigWig","read-depth normalized signal","ENCSR767AJS","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-09-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF018VXW",665151516,"ENCODE Processing Pipeline","fc75a0f4b8af33e230897f7bb5362ebe",NA,"https://www.encodeproject.org/files/ENCFF561YHL/@@download/ENCFF561YHL.bigWig","mm10",NA,NA,"released",NA,"low spot score","","",NA
"190","ENCFF606VGL","bigBed narrowPeak","peaks","ENCSR292QBA","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-10-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF158HQN",10489031,"ENCODE Processing Pipeline","7552862240d7a3bb48df0dfb29de853d",NA,"https://www.encodeproject.org/files/ENCFF606VGL/@@download/ENCFF606VGL.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"191","ENCFF288OHT","bigBed broadPeak","hotspots","ENCSR292QBA","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-10-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF158HQN",14686845,"ENCODE Processing Pipeline","c50ff51e3d3fb2d6ca4a2b7dfe8d99c7",NA,"https://www.encodeproject.org/files/ENCFF288OHT/@@download/ENCFF288OHT.bigBed","mm10",NA,NA,"released",NA,"low spot score","","",NA
"199","ENCFF906WCV","bigWig","read-depth normalized signal","ENCSR292QBA","DNase-seq","UBERON:0001891","midbrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2015-10-14","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF158HQN",664849614,"ENCODE Processing Pipeline","3f4f1c49ede7dbd5be6be51c8e1bf4f5",NA,"https://www.encodeproject.org/files/ENCFF906WCV/@@download/ENCFF906WCV.bigWig","mm10",NA,NA,"released",NA,"low spot score","","",NA
"204","ENCFF943ATK","bigBed narrowPeak","peaks","ENCSR014SFF","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF546SVK",2115136,"ENCODE Processing Pipeline","1535fac3bec5c0b46a794d8d7f508290",NA,"https://www.encodeproject.org/files/ENCFF943ATK/@@download/ENCFF943ATK.bigBed","mm10",NA,NA,"released",NA,"","experiment not submitted to GEO","",NA
"205","ENCFF544TEZ","bigBed broadPeak","hotspots","ENCSR014SFF","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF546SVK",3727982,"ENCODE Processing Pipeline","54c6d38d3a32da6f1f25428714d24846",NA,"https://www.encodeproject.org/files/ENCFF544TEZ/@@download/ENCFF544TEZ.bigBed","mm10",NA,NA,"released",NA,"","experiment not submitted to GEO","",NA
"206","ENCFF519JFN","bigBed narrowPeak","peaks","ENCSR014SFF","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF358BLW",2739041,"ENCODE Processing Pipeline","02f9fda9159927e84045f6f43529d6e1",NA,"https://www.encodeproject.org/files/ENCFF519JFN/@@download/ENCFF519JFN.bigBed","mm10",NA,NA,"released",NA,"","experiment not submitted to GEO","",NA
"207","ENCFF402PFQ","bigBed broadPeak","hotspots","ENCSR014SFF","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF358BLW",5133102,"ENCODE Processing Pipeline","fe46de22eb4dfe7da62c11089895b181",NA,"https://www.encodeproject.org/files/ENCFF402PFQ/@@download/ENCFF402PFQ.bigBed","mm10",NA,NA,"released",NA,"","experiment not submitted to GEO","",NA
"208","ENCFF009ALP","bigWig","read-depth normalized signal","ENCSR014SFF","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF546SVK",677461844,"ENCODE Processing Pipeline","b7fd494db985f539bead44746c6ebf21",NA,"https://www.encodeproject.org/files/ENCFF009ALP/@@download/ENCFF009ALP.bigWig","mm10",NA,NA,"released",NA,"","experiment not submitted to GEO","",NA
"209","ENCFF545CZJ","bigWig","read-depth normalized signal","ENCSR014SFF","DNase-seq","UBERON:0001890","forebrain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"","",NA,"False","2017-09-26","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF358BLW",660448196,"ENCODE Processing Pipeline","02afc32ff450179b76fcc1054c751802",NA,"https://www.encodeproject.org/files/ENCFF545CZJ/@@download/ENCFF545CZJ.bigWig","mm10",NA,NA,"released",NA,"","experiment not submitted to GEO","",NA
"223","ENCFF582YLY","bigBed narrowPeak","peaks","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF717ZMV",795155,"ENCODE Processing Pipeline","5fdd3e9165fc235d1b78f14472b81b9e",NA,"https://www.encodeproject.org/files/ENCFF582YLY/@@download/ENCFF582YLY.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"224","ENCFF228IME","bigBed broadPeak","hotspots","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF717ZMV",1364211,"ENCODE Processing Pipeline","64900af0eefaa42cdeba608667e6df04",NA,"https://www.encodeproject.org/files/ENCFF228IME/@@download/ENCFF228IME.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"225","ENCFF017LVP","bigBed narrowPeak","peaks","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF446HPV",672947,"ENCODE Processing Pipeline","b2a11eea8d614830ba465906420a84af",NA,"https://www.encodeproject.org/files/ENCFF017LVP/@@download/ENCFF017LVP.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"226","ENCFF290BBA","bigBed broadPeak","hotspots","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF446HPV",1147940,"ENCODE Processing Pipeline","2cb08ef7fb3fd2652b0db99c8a4dc78e",NA,"https://www.encodeproject.org/files/ENCFF290BBA/@@download/ENCFF290BBA.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"227","ENCFF683FSK","bigBed narrowPeak","peaks","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF238GIL",1114765,"ENCODE Processing Pipeline","83a5efc757af23aae764bc6474025d9d",NA,"https://www.encodeproject.org/files/ENCFF683FSK/@@download/ENCFF683FSK.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"228","ENCFF666PXL","bigBed broadPeak","hotspots","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF238GIL",2437955,"ENCODE Processing Pipeline","094287c2fec0bc99267f72d2d11f640c",NA,"https://www.encodeproject.org/files/ENCFF666PXL/@@download/ENCFF666PXL.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"235","ENCFF474GND","bigWig","read-depth normalized signal","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF717ZMV",500786533,"ENCODE Processing Pipeline","de36c3082f655d93258ccd7d69032c18",NA,"https://www.encodeproject.org/files/ENCFF474GND/@@download/ENCFF474GND.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"236","ENCFF855GSU","bigWig","read-depth normalized signal","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF446HPV",499677926,"ENCODE Processing Pipeline","79a30aadedfee188a7f83a2c776b498d",NA,"https://www.encodeproject.org/files/ENCFF855GSU/@@download/ENCFF855GSU.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"237","ENCFF519MDG","bigWig","read-depth normalized signal","ENCSR000CMO","DNase-seq","UBERON:0002037","cerebellum","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ENCFF238GIL",521887176,"ENCODE Processing Pipeline","89f506cbc85c7f2ecd56b8bc5be85655",NA,"https://www.encodeproject.org/files/ENCFF519MDG/@@download/ENCFF519MDG.bigWig","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"254","ENCFF992QCB","bigWig","read-depth normalized signal","ENCSR000COE","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF103HEO",693134634,"ENCODE Processing Pipeline","cf8536345df479ca6fe486120c4ca3eb",NA,"https://www.encodeproject.org/files/ENCFF992QCB/@@download/ENCFF992QCB.bigWig","mm10",NA,NA,"released",NA,"low read depth","","",NA
"255","ENCFF728KGR","bigWig","read-depth normalized signal","ENCSR000COE","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF486JPL",500277021,"ENCODE Processing Pipeline","1578b1d139cef6005a1c547b2d51ea18",NA,"https://www.encodeproject.org/files/ENCFF728KGR/@@download/ENCFF728KGR.bigWig","mm10",NA,NA,"released",NA,"low read depth","","",NA
"256","ENCFF119RPF","bigBed narrowPeak","peaks","ENCSR000COE","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF103HEO",4404715,"ENCODE Processing Pipeline","f1948be7f4209a0ef7306bd025a9c96c",NA,"https://www.encodeproject.org/files/ENCFF119RPF/@@download/ENCFF119RPF.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"257","ENCFF048LXO","bigBed broadPeak","hotspots","ENCSR000COE","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF103HEO",6397195,"ENCODE Processing Pipeline","264ffb1cd3fb142867ed2d75eea373b1",NA,"https://www.encodeproject.org/files/ENCFF048LXO/@@download/ENCFF048LXO.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"258","ENCFF291OJF","bigBed narrowPeak","peaks","ENCSR000COE","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF486JPL",973952,"ENCODE Processing Pipeline","0ae12433eb57f69fb46a47ed385c92f1",NA,"https://www.encodeproject.org/files/ENCFF291OJF/@@download/ENCFF291OJF.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"259","ENCFF059LAZ","bigBed broadPeak","hotspots","ENCSR000COE","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF486JPL",1671889,"ENCODE Processing Pipeline","16e9da8814c593cda5cf40ffad032714",NA,"https://www.encodeproject.org/files/ENCFF059LAZ/@@download/ENCFF059LAZ.bigBed","mm10",NA,NA,"released",NA,"low read depth","","",NA
"282","ENCFF845NIL","bigBed narrowPeak","peaks","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF417OBI",4607038,"ENCODE Processing Pipeline","dc3411d2d5e8b87fb0217a135133990b",NA,"https://www.encodeproject.org/files/ENCFF845NIL/@@download/ENCFF845NIL.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"283","ENCFF213ZCN","bigBed broadPeak","hotspots","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF417OBI",7358328,"ENCODE Processing Pipeline","aeff2be6447933df790fcdd443c99e8f",NA,"https://www.encodeproject.org/files/ENCFF213ZCN/@@download/ENCFF213ZCN.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
"284","ENCFF295SXR","bigBed narrowPeak","peaks","ENCSR000COF","DNase-seq","UBERON:0000955","brain","tissue","Mus musculus",NA,NA,NA,NA,"DNA",NA,"see document","see document",NA,"False","2011-07-01","ENCODE",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"ENCFF026MOH, ENCFF311ZED",1459357,"ENCODE Processing Pipeline","2df5b91bc6ef67718fd2bdb38367186d",NA,"https://www.encodeproject.org/files/ENCFF295SXR/@@download/ENCFF295SXR.bigBed","mm10",NA,NA,"released",NA,"low read depth, low spot score","","",NA
